ano,mes,porto,tonelagem_t,n_atracacoes
2017,11,Itaituba,500035,127
2017,11,Manaus,325194,5930
2017,11,Santarém,408851,412
2017,12,Itacoatiara,546904,285
2017,12,Itaituba,516655,98
2017,12,Juruti,21,2
2017,12,Manaus,376561,6340
2017,12,Santarém,368579,392
2018,1,Itacoatiara,393842,203
2018,1,Itaituba,140182,22
2018,1,Juruti,0,3
2018,1,Manaus,222052,4511
2018,1,Santarém,124102,316
2018,2,Itacoatiara,539955,287
2018,2,Itaituba,286991,65
2018,2,Juruti,31,2
2018,2,Manaus,224872,4330
2018,2,Santarém,486965,444
2018,3,Itacoatiara,677999,350
2018,3,Itaituba,442597,132
2018,3,Juruti,69,3
2018,3,Manaus,271577,5669
2018,3,Santarém,558113,535
2018,4,Itacoatiara,630970,338
2018,4,Itaituba,578612,160
2018,4,Juruti,62,4
2018,4,Manaus,280650,5361
2018,4,Santarém,475368,448
2018,5,Itacoatiara,599534,315
2018,5,Itaituba,491345,121
2018,5,Juruti,159,6
2018,5,Manaus,343399,6493
2018,5,Santarém,417013,446
2018,6,Itacoatiara,446647,234
2018,6,Itaituba,576925,159
2018,6,Juruti,16,2
2018,6,Manaus,271742,5519
2018,6,Santarém,468990,426
2018,7,Itacoatiara,440551,237
2018,7,Itaituba,528841,146
2018,7,Juruti,1493,3
2018,7,Manaus,294608,6007
2018,7,Santarém,436940,454
2018,8,Itacoatiara,456736,337
2018,8,Itaituba,697111,182
2018,8,Juruti,101,3
2018,8,Manaus,361641,7052
2018,8,Santarém,401825,525
2018,9,Itacoatiara,325614,207
2018,9,Itaituba,723734,195
2018,9,Manaus,352849,7191
2018,9,Santarém,404330,393
2018,10,Itacoatiara,326118,172
2018,10,Itaituba,470853,131
2018,10,Manaus,334466,5721
2018,10,Santarém,240078,438
2018,11,Itacoatiara,452592,277
2018,11,Itaituba,469306,158
2018,11,Manaus,339511,6788
2018,11,Santarém,399584,468
2018,12,Itacoatiara,633525,339
2018,12,Itaituba,380834,105
2018,12,Manaus,335687,7042
2018,12,Santarém,297911,462
2019,1,Itacoatiara,526174,281
2019,1,Itaituba,360233,119
2019,1,Manaus,271775,5626
2019,1,Santarém,625298,557
2019,2,Itacoatiara,576120,309
2019,2,Itaituba,709044,182
2019,2,Manaus,269459,5675
2019,2,Santarém,565023,515
2019,3,Itacoatiara,490860,270
2019,3,Itaituba,599876,131
2019,3,Manaus,314351,6157
2019,3,Santarém,569765,548
2019,4,Itacoatiara,725206,326
2019,4,Itaituba,552709,131
2019,4,Manaus,285706,6085
2019,4,Santarém,316184,428
2019,5,Itacoatiara,628756,321
2019,5,Itaituba,509049,149
2019,5,Manaus,276095,6096
2019,5,Santarém,519450,548
2019,6,Itacoatiara,594531,306
2019,6,Itaituba,562973,148
2019,6,Manaus,307290,6382
2019,6,Santarém,666235,534
2019,7,Itacoatiara,522131,274
2019,7,Itaituba,838238,190
2019,7,Manaus,321358,6433
2019,7,Santarém,738503,610
2019,8,Itacoatiara,552634,322
2019,8,Itaituba,988342,224
2019,8,Manaus,347145,7453
2019,8,Santarém,645378,634
2019,9,Itacoatiara,316353,236
2019,9,Itaituba,688285,186
2019,9,Manaus,330614,6302
2019,9,Santarém,436222,555
2019,10,Itacoatiara,449388,317
