data,vazao_m3s
2023-06-29,41388.3
2023-06-30,41163.5
2023-07-01,41073.8
2023-07-02,40939.6
2023-07-03,40894.9
2023-07-04,40716.4
2023-07-05,40627.4
2023-07-06,40449.7
2023-07-07,40361.1
2023-07-08,40184.2
2023-07-09,40007.8
2023-07-10,39831.9
2023-07-11,39656.6
2023-07-12,39525.4
2023-07-13,39394.6
2023-07-14,39220.5
2023-07-15,39177.1
2023-07-16,39047
2023-07-17,38960.4
2023-07-18,38830.8
2023-07-19,38787.6
2023-07-20,38701.4
2023-07-21,38572.4
2023-07-22,38486.5
2023-07-23,38357.9
2023-07-24,38229.6
2023-07-25,38059
2023-07-26,37846.5
2023-07-27,37634.7
2023-07-28,37423.8
2023-07-29,37171.7
2023-07-30,36962.4
2023-07-31,36754
2023-08-01,36504.9
2023-08-02,36298.2
2023-08-03,36133.4
2023-08-04,35928.1
2023-08-05,35805.3
2023-08-06,35601.2
2023-08-07,35438.6
2023-08-08,35276.4
2023-08-09,35114.7
2023-08-10,34953.5
2023-08-11,34832.9
2023-08-12,34672.6
2023-08-13,34512.7
2023-08-14,34353.4
2023-08-15,34154.9
2023-08-16,33957.1
2023-08-17,33720.9
2023-08-18,33485.7
2023-08-19,33212.7
2023-08-20,32941.2
2023-08-21,32632.8
2023-08-22,32288.1
2023-08-23,31907.9
2023-08-24,31530.7
2023-08-25,31119.3
2023-08-26,30711.5
2023-08-27,30307.2
2023-08-28,29834.1
2023-08-29,29437.6
2023-08-30,28973.5
2023-08-31,28514.4
2023-09-01,27990.7
2023-09-02,27473.4
2023-09-03,26928.7
2023-09-04,26291.3
2023-09-05,25664
2023-09-06,25046.8
2023-09-07,24344.6
2023-09-08,23655.7
2023-09-09,22949.4
2023-09-10,22227.6
2023-09-11,21521.1
2023-09-12,20829.7
2023-09-13,20069.8
2023-09-14,19328.6
2023-09-15,18632.3
2023-09-16,17901.3
2023-09-17,17240
2023-09-18,16521.7
2023-09-19,15823.7
2023-09-20,15191.8
2023-09-21,14621.9
2023-09-22,13978.8
2023-09-23,13503.8
2023-09-24,13102.3
2023-09-25,12770.4
2023-09-26,12525.2
2023-09-27,12303.3
2023-09-28,12103.8
2023-09-29,11945.7
2023-09-30,11847.6
2023-10-01,11750.1
2023-10-02,11653.1
