data,vazao_m3s
2017-01-07,22986.1
2017-01-08,23341
2017-01-09,23596.2
2017-01-10,23852.9
2017-01-11,24059.3
2017-01-12,24214.7
2017-01-13,24266.6
2017-01-14,24318.6
2017-01-15,24318.6
2017-01-16,24422.7
2017-01-17,24474.8
2017-01-18,24527.1
2017-01-19,24579.3
2017-01-20,24631.6
2017-01-21,24474.8
2017-01-22,24266.6
2017-01-23,23852.9
2017-01-24,23442.9
2017-01-25,22885.2
2017-01-26,22136.1
2017-01-27,21254.4
2017-01-28,20155.1
2017-01-29,19132.1
2017-01-30,18047.9
2017-01-31,17169.7
2017-02-01,16782
2017-02-02,16782
2017-02-03,17256.5
2017-02-04,17870.4
2017-02-05,18226.3
2017-02-06,18903.5
2017-02-07,19362.1
2017-02-08,19873.3
2017-02-09,20344.1
2017-02-10,20820.6
2017-02-11,21157.6
2017-02-12,21302.9
2017-02-13,21302.9
2017-02-14,21157.6
2017-02-15,20724.8
2017-02-16,20202.2
2017-02-17,19640.1
2017-02-18,18994.8
2017-02-19,18676.3
2017-02-20,18271.1
2017-02-21,17649.9
2017-02-22,17083.1
2017-02-23,16653.8
2017-02-24,16398.9
2017-02-25,15770.7
2017-02-26,15359.1
2017-02-27,15074.3
2017-02-28,14781.7
2017-03-01,14655.1
2017-03-02,14697.3
2017-03-03,14908.6
2017-03-04,15236.7
2017-03-05,15482
2017-03-06,15770.7
2017-03-07,16062.3
2017-03-08,16611.2
2017-03-09,16996.8
2017-03-10,17693.9
2017-03-11,18495.6
2017-03-12,19547.2
2017-03-13,20534
2017-03-14,21448.7
2017-03-15,22185.7
2017-03-16,22784.6
2017-03-17,23341
2017-03-18,23801.4
2017-03-19,24422.7
2017-03-20,24999.6
2017-03-21,25744
2017-03-22,26336.9
2017-03-23,26663.3
2017-03-24,26663.3
2017-03-25,26499.8
2017-03-26,26120.4
2017-03-27,25583.5
2017-03-28,25105.2
2017-03-29,24841.5
2017-03-30,24579.3
2017-03-31,24059.3
2017-04-01,23442.9
2017-04-02,22734.4
2017-04-03,22284.9
2017-04-04,21840.1
2017-04-05,21448.7
2017-04-06,21157.6
2017-04-07,20916.6
2017-04-08,20296.7
2017-04-09,20060.9
2017-04-10,19686.6
2017-04-11,18994.8
2017-04-12,18495.6
2017-04-13,18181.6
2017-04-14,17914.7
2017-04-15,17914.7
2017-04-16,18226.3
2017-04-17,18857.9
2017-04-18,19779.8
2017-04-19,20344.1
2017-04-20,20581.6
2017-04-21,21302.9
2017-04-22,22037.2
2017-04-23,22634.1
2017-04-24,23087.2
2017-04-25,23341
2017-04-26,23442.9
2017-04-27,23391.9
2017-04-28,23341
2017-04-29,23442.9
2017-04-30,22986.1
2017-05-01,22634.1
2017-05-02,22334.6
2017-05-03,22136.1
2017-05-04,22284.9
2017-05-05,22534
2017-05-06,22935.6
2017-05-07,23341
2017-05-08,24059.3
2017-05-09,25052.3
2017-05-10,26228.5
2017-05-11,27599.5
2017-05-12,28836.2
2017-05-13,29869.2
2017-05-14,30334.4
2017-05-15,30627.1
2017-05-16,31039.3
2017-05-17,31276.2
2017-05-18,31276.2
2017-05-19,31276.2
2017-05-20,31039.3
2017-05-21,30744.6
2017-05-22,30276.1
2017-05-23,29869.2
2017-05-24,29580.3
2017-05-25,29407.7
2017-05-26,29235.7
2017-05-27,29064.1
2017-05-28,28779.4
2017-05-29,28552.6
2017-05-30,28383.2
2017-05-31,28102
2017-06-01,27655.1
2017-06-02,27101.7
2017-06-03,26882
2017-06-04,26936.9
2017-06-05,26991.8
2017-06-06,27101.7
2017-06-07,27101.7
2017-06-08,27101.7
2017-06-09,26936.9
2017-06-10,26827.3
2017-06-11,26608.7
2017-06-12,26717.9
2017-06-13,26772.5
2017-06-14,26608.7
2017-06-15,26282.7
2017-06-16,25851.2
2017-06-17,25530.1
2017-06-18,25370.3
2017-06-19,25211.1
2017-06-20,25052.3
2017-06-21,24841.5
2017-06-22,24684
2017-06-23,24527.1
2017-06-24,24370.6
2017-06-25,24318.6
2017-06-26,24318.6
2017-06-27,24266.6
2017-06-28,24266.6
2017-06-29,24370.6
2017-06-30,24474.8
2017-07-01,24579.3
2017-07-02,24684
2017-07-03,24841.5
2017-07-04,25158.1
2017-07-05,25636.9
2017-07-06,26012.6
2017-07-07,26499.8
2017-07-08,26772.5
2017-07-09,26991.8
2017-07-10,27211.9
2017-07-11,27433
2017-07-12,27655.1
2017-07-13,27766.5
2017-07-14,27710.7
2017-07-15,27710.7
2017-07-16,27599.5
2017-07-17,27488.5
2017-07-18,27488.5
2017-07-19,27433
2017-07-20,27267.1
2017-07-21,27046.7
2017-07-22,26772.5
2017-07-23,26554.2
2017-07-24,26174.5
2017-07-25,25744
2017-07-26,25423.5
2017-07-27,25317.2
2017-07-28,25158.1
2017-07-29,25052.3
2017-07-30,24999.6
2017-07-31,25105.2
2017-08-01,25211.1
2017-08-02,25370.3
2017-08-03,25476.8
2017-08-04,25583.5
2017-08-05,25636.9
2017-08-06,25583.5
2017-08-07,25423.5
2017-08-08,25317.2
2017-08-09,25052.3
2017-08-10,24736.5
2017-08-11,24266.6
2017-08-12,23801.4
